Nama_Daerah,RLS,Kemiskinan,IPM,Kategori_IPM,latitude,longitude
SUMBAWA BARAT,8.99,12.23,73.86,Tinggi,-8.9292907,116.8910342
LOMBOK UTARA,6.4,23.96,67.24,Sedang,-8.3739076,116.2777073
KOTA MATARAM,9.58,8.0,80.6,Sangat Tinggi,-8.5833333,116.1166667
KOTA BIMA,10.96,8.12,78.04,Tinggi,-8.460566,118.727402
SUMBA BARAT,7.17,26.52,66.06,Sedang,-9.6548326,119.3947135
SUMBA TIMUR,7.77,27.04,67.68,Sedang,-9.9802103,120.3435506
KUPANG,7.62,21.37,66.57,Sedang,-10.1833333,123.5833333
TIMOR TENGAH SELATAN,7.21,24.68,64.36,Sedang,-9.7762816,124.4198243
TIMOR TENGAH UTARA,8.17,20.89,65.83,Sedang,-9.4522647,124.597132
BELU,7.5,13.86,64.43,Sedang,-9.4125796,124.9506625
ALOR,8.61,19.87,63.82,Sedang,-8.2754027,124.7298765
LEMBATA,8.27,24.22,66.62,Sedang,-8.4719075,123.4831906
FLORES TIMUR,8.06,11.25,66.29,Sedang,-8.3130942,122.9663018
SIKKA,6.99,11.89,67.41,Sedang,-8.6766175,122.1291843
ENDE,8.29,22.57,69.11,Sedang,-8.854053,121.654198
NGADA,8.83,11.87,69.52,Sedang,-8.7430424,120.9876321
MANGGARAI,7.91,19.01,67.28,Sedang,-8.6796987,120.3896651
ROTE NDAO,7.83,25.78,64.59,Sedang,-10.7386421,123.1239049
MANGGARAI BARAT,8.21,16.74,66.65,Sedang,-8.6688149,120.0665236
SUMBA TENGAH,7.23,30.84,64.31,Sedang,-9.4879226,119.6962677
SUMBA BARAT DAYA,6.39,27.2,64.27,Sedang,-9.539139,119.1390642
NAGEKEO,8.23,12.3,67.72,Sedang,-8.6753545,121.3084088
MANGGARAI TIMUR,7.96,24.9,64.2,Sedang,-8.6206712,120.6199895
SABU RAIJUA,6.99,28.13,59.58,Rendah,-10.5541116,121.8334868
MALAKA,7.14,13.92,62.73,Sedang,-9.5663,124.8943
KOTA KUPANG,11.64,8.24,81.08,Sangat Tinggi,-10.1833333,123.5833333
SAMBAS,6.76,6.53,69.31,Sedang,1.361328,109.309998
BENGKAYANG,7.41,6.0,70.3,Tinggi,0.8209729,109.477699
LANDAK,7.46,8.98,69.08,Sedang,0.4237287,109.7591675
MEMPAWAH,7.21,4.83,68.56,Sedang,-0.022523,109.330307
SANGGAU,7.47,4.67,68.43,Sedang,0.119275,110.597298
KETAPANG,7.68,8.5,69.42,Sedang,-1.859098,109.971901
SINTANG,7.65,8.03,69.42,Sedang,0.080238,111.495499
KAPUAS HULU,8.03,7.4,68.58,Sedang,-0.7931004,113.9060624
SEKADAU,7.23,5.66,67.25,Sedang,0.015637,110.888603
MELAWI,7.66,10.62,68.66,Sedang,-0.7000681,111.6660725
KAYONG UTARA,6.54,8.84,65.74,Sedang,-0.9225877,110.0449662
KUBU RAYA,7.05,4.08,70.25,Tinggi,-0.3533938,109.4735066
KOTA PONTIANAK,10.47,4.2,81.57,Sangat Tinggi,-0.022523,109.330307
KOTA SINGKAWANG,8.22,4.53,73.87,Tinggi,0.908795,108.984596
KOTAWARINGIN BARAT,8.77,4.11,74.44,Tinggi,-6.1961131,106.8630174
KOTAWARINGIN TIMUR,8.18,5.66,72.66,Tinggi,-6.1952992,106.8630737
KAPUAS,7.93,5.25,71.32,Tinggi,-0.0459972,110.1313251
BARITO SELATAN,9.22,4.83,72.36,Tinggi,-1.875943,114.8092691
BARITO UTARA,8.92,5.67,72.31,Tinggi,-0.9587136,115.094045
SUKAMARA,8.18,4.14,69.85,Sedang,-2.6267517,111.2368084
LAMANDAU,8.82,3.25,72.25,Tinggi,-1.9269166,111.1891151
SERUYAN,8.01,7.08,69.05,Sedang,-3.0123467,112.4291464
KATINGAN,8.95,5.26,70.7,Tinggi,-0.9758379,112.8105512
PULANG PISAU,8.42,4.56,70.27,Tinggi,-2.6849607,113.9536466
GUNUNG MAS,9.37,5.68,72.73,Tinggi,-6.7052778,106.9913889
BARITO TIMUR,9.54,6.66,73.26,Tinggi,-2.0123999,115.188916
MURUNG RAYA,7.94,6.58,70.03,Tinggi,-0.1362171,114.3341432
KOTA PALANGKA RAYA,11.66,3.52,82.2,Sangat Tinggi,-2.21,113.92
TANAH LAUT,7.94,3.74,71.43,Tinggi,-3.7694047,114.8092691
KOTA BARU,7.56,4.45,70.61,Tinggi,-6.332973,106.807915
BANJAR,7.95,2.36,71.87,Tinggi,-7.3666667,108.5333333
BARITO KUALA,7.92,4.36,68.84,Sedang,-3.0714738,114.6667939
TAPIN,8.15,3.33,72.51,Tinggi,-2.9160746,115.0465991
